timestamp,source_ip,destination_ip,attack_type,risk
2026-03-15 21:38:42.376514,140.82.112.26,192.168.1.9,DoS,LOW
2026-03-15 21:38:42.402757,192.168.1.9,140.82.112.26,DoS,CRITICAL
2026-03-15 21:38:42.615357,140.82.112.26,192.168.1.9,DoS,LOW
2026-03-15 21:38:51.401958,192.168.1.9,207.182.128.178,DoS,CRITICAL
2026-03-15 21:38:51.605290,192.168.1.9,207.182.128.178,DoS,CRITICAL
2026-03-15 21:38:51.673540,207.182.128.178,192.168.1.9,DoS,LOW
2026-03-15 21:38:51.876646,207.182.128.178,192.168.1.9,DoS,LOW
2026-03-15 21:38:51.904593,192.168.1.9,255.255.255.255,DoS,CRITICAL
2026-03-15 21:38:51.914570,192.168.1.9,255.255.255.255,DoS,CRITICAL
2026-03-15 21:38:51.938416,192.168.1.9,192.168.1.255,DoS,CRITICAL
2026-03-15 21:38:51.952595,192.168.1.9,255.255.255.255,DoS,CRITICAL
2026-03-15 21:38:51.965570,192.168.1.9,255.255.255.255,DoS,CRITICAL
2026-03-15 21:39:00.923959,162.125.40.1,192.168.1.9,DoS,LOW
2026-03-15 21:39:00.939513,192.168.1.9,162.125.40.1,DoS,CRITICAL
2026-03-15 21:39:00.955622,192.168.1.9,162.125.40.1,DoS,CRITICAL
2026-03-15 21:39:00.976086,192.168.1.9,162.125.40.1,DoS,CRITICAL
2026-03-15 21:39:01.189339,162.125.40.1,192.168.1.9,DoS,LOW
2026-03-15 21:39:01.200425,162.125.40.1,192.168.1.9,DoS,LOW
2026-03-15 21:39:01.211290,162.125.40.1,192.168.1.9,DoS,LOW
2026-03-15 21:39:01.221940,192.168.1.9,162.125.40.1,DoS,CRITICAL
2026-03-15 21:39:01.247202,162.125.40.1,192.168.1.9,DoS,LOW
2026-03-15 21:39:01.257332,192.168.1.9,162.125.40.1,DoS,CRITICAL
2026-03-15 21:39:01.268045,192.168.1.9,162.125.40.1,DoS,CRITICAL
2026-03-15 21:39:01.564597,162.125.40.1,192.168.1.9,DoS,LOW
2026-03-15 21:39:01.578372,162.125.40.1,192.168.1.9,DoS,LOW
2026-03-15 21:39:01.588958,192.168.1.9,162.125.40.1,DoS,CRITICAL
2026-03-15 21:39:01.599751,192.168.1.9,162.125.40.1,DoS,CRITICAL
2026-03-15 21:39:01.609707,192.168.1.9,162.125.40.1,DoS,CRITICAL
2026-03-15 21:39:01.908672,162.125.40.1,192.168.1.9,DoS,LOW
2026-03-15 21:39:01.932850,162.125.40.1,192.168.1.9,DoS,LOW
2026-03-15 21:39:01.943600,162.125.40.1,192.168.1.9,DoS,LOW
2026-03-15 21:39:01.953386,192.168.1.9,162.125.40.1,DoS,CRITICAL
2026-03-15 21:39:02.239010,162.125.40.1,192.168.1.9,DoS,LOW
2026-03-15 21:39:05.843326,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:39:06.097137,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:39:06.180706,44.227.65.245,192.168.1.9,DoS,LOW
2026-03-15 21:39:06.341988,207.182.128.178,192.168.1.9,DoS,LOW
2026-03-15 21:39:06.373539,207.182.128.178,192.168.1.9,DoS,LOW
2026-03-15 21:39:06.406350,192.168.1.9,207.182.128.178,DoS,CRITICAL
2026-03-15 21:39:07.730191,192.168.1.9,52.168.117.174,DoS,CRITICAL
2026-03-15 21:39:07.753884,192.168.1.9,52.168.117.174,DoS,CRITICAL
2026-03-15 21:39:07.769486,192.168.1.9,52.168.117.174,DoS,CRITICAL
2026-03-15 21:39:07.845486,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:39:07.869017,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:39:07.988435,52.168.117.174,192.168.1.9,DoS,LOW
2026-03-15 21:39:08.012605,52.168.117.174,192.168.1.9,DoS,LOW
2026-03-15 21:39:08.059152,52.168.117.174,192.168.1.9,DoS,LOW
2026-03-15 21:39:08.078140,192.168.1.9,52.168.117.174,DoS,CRITICAL
2026-03-15 21:39:08.186058,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:39:08.409933,44.227.65.245,192.168.1.9,DoS,LOW
2026-03-15 21:39:08.438246,44.227.65.245,192.168.1.9,DoS,LOW
2026-03-15 21:39:08.465171,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:39:08.491479,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:39:08.505019,52.168.117.174,192.168.1.9,DoS,LOW
2026-03-15 21:39:08.519171,192.168.1.9,52.168.117.174,DoS,CRITICAL
2026-03-15 21:39:08.542147,44.227.65.245,192.168.1.9,DoS,LOW
2026-03-15 21:39:08.566234,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:39:08.585161,44.227.65.245,192.168.1.9,DoS,LOW
2026-03-15 21:39:08.603008,44.227.65.245,192.168.1.9,DoS,LOW
2026-03-15 21:39:08.637840,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:39:08.653356,192.168.1.9,52.168.117.174,DoS,CRITICAL
2026-03-15 21:39:08.668718,192.168.1.9,52.168.117.174,DoS,CRITICAL
2026-03-15 21:39:08.696431,52.168.117.174,192.168.1.9,DoS,LOW
2026-03-15 21:39:08.710645,192.168.1.9,172.188.155.25,DoS,CRITICAL
2026-03-15 21:39:08.734033,192.168.1.9,172.188.155.25,DoS,CRITICAL
2026-03-15 21:39:08.753669,52.168.117.174,192.168.1.9,DoS,LOW
2026-03-15 21:39:08.781798,172.188.155.25,192.168.1.9,DoS,LOW
2026-03-15 21:39:08.795858,172.188.155.25,192.168.1.9,DoS,LOW
2026-03-15 21:39:08.810526,172.188.155.25,192.168.1.9,DoS,LOW
2026-03-15 21:39:08.826984,172.188.155.25,192.168.1.9,DoS,LOW
2026-03-15 21:39:08.992473,172.188.155.25,192.168.1.9,DoS,LOW
2026-03-15 21:39:09.032362,192.168.1.9,172.188.155.25,DoS,CRITICAL
2026-03-15 21:39:09.081379,52.168.117.174,192.168.1.9,DoS,LOW
2026-03-15 21:39:09.119034,192.168.1.9,52.168.117.174,DoS,CRITICAL
2026-03-15 21:39:09.147325,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:39:09.176183,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:39:09.203499,52.168.117.174,192.168.1.9,DoS,LOW
2026-03-15 21:39:09.219891,52.168.117.174,192.168.1.9,DoS,LOW
2026-03-15 21:39:09.241929,52.168.117.174,192.168.1.9,DoS,LOW
2026-03-15 21:39:09.264943,192.168.1.9,52.168.117.174,DoS,CRITICAL
2026-03-15 21:39:09.306095,44.227.65.245,192.168.1.9,DoS,LOW
2026-03-15 21:39:09.339473,44.227.65.245,192.168.1.9,DoS,LOW
2026-03-15 21:39:09.386580,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:39:09.417615,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:39:10.129779,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:39:10.152880,192.168.1.9,44.227.76.166,DoS,CRITICAL
2026-03-15 21:39:10.187695,192.168.1.9,44.227.76.166,DoS,CRITICAL
2026-03-15 21:39:10.218552,192.168.1.9,207.182.128.178,DoS,CRITICAL
2026-03-15 21:39:10.273524,192.168.1.9,20.190.146.36,DoS,CRITICAL
2026-03-15 21:39:10.312026,192.168.1.9,20.190.146.36,DoS,CRITICAL
2026-03-15 21:39:10.354357,20.190.146.36,192.168.1.9,DoS,LOW
2026-03-15 21:39:10.411016,20.190.146.36,192.168.1.9,DoS,LOW
2026-03-15 21:39:10.457914,192.168.1.9,20.190.146.36,DoS,CRITICAL
2026-03-15 21:39:10.501778,192.168.1.9,20.190.146.36,DoS,CRITICAL
2026-03-15 21:39:10.540765,192.168.1.9,20.190.146.36,DoS,CRITICAL
2026-03-15 21:39:10.565789,20.190.146.36,192.168.1.9,DoS,LOW
2026-03-15 21:39:10.585996,20.190.146.36,192.168.1.9,DoS,LOW
2026-03-15 21:39:10.615070,20.190.146.36,192.168.1.9,DoS,LOW
2026-03-15 21:39:10.641396,192.168.1.9,20.190.146.36,DoS,CRITICAL
2026-03-15 21:39:10.670715,192.168.1.9,44.227.76.166,DoS,CRITICAL
2026-03-15 21:39:10.699109,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:39:10.735708,192.168.1.9,20.190.146.36,DoS,CRITICAL
2026-03-15 21:39:10.774495,192.168.1.9,44.227.76.166,DoS,CRITICAL
2026-03-15 21:39:10.808299,44.227.76.166,192.168.1.9,DoS,LOW
2026-03-15 21:39:10.842340,192.168.1.9,44.227.76.166,DoS,CRITICAL
2026-03-15 21:39:10.869944,192.168.1.9,44.227.76.166,DoS,CRITICAL
2026-03-15 21:39:10.901253,44.227.65.245,192.168.1.9,DoS,LOW
2026-03-15 21:39:10.924776,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:39:10.958403,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:39:10.977920,20.190.146.36,192.168.1.9,DoS,LOW
2026-03-15 21:39:10.998229,192.168.1.9,20.190.146.36,DoS,CRITICAL
2026-03-15 21:39:11.012445,192.168.1.9,20.190.146.36,DoS,CRITICAL
2026-03-15 21:39:11.030183,192.168.1.9,20.190.146.36,DoS,CRITICAL
2026-03-15 21:39:11.056308,192.168.1.9,20.190.146.36,DoS,CRITICAL
2026-03-15 21:39:11.076761,192.168.1.9,20.190.146.36,DoS,CRITICAL
2026-03-15 21:39:11.106415,192.168.1.9,20.190.146.36,DoS,CRITICAL
2026-03-15 21:39:11.131230,207.182.128.178,192.168.1.9,DoS,LOW
2026-03-15 21:39:11.146614,44.227.76.166,192.168.1.9,DoS,LOW
2026-03-15 21:39:11.165130,192.168.1.9,44.227.76.166,DoS,CRITICAL
2026-03-15 21:39:11.192470,192.168.1.9,44.227.76.166,DoS,CRITICAL
2026-03-15 21:39:11.210353,20.190.146.36,192.168.1.9,DoS,LOW
2026-03-15 21:39:11.230110,20.190.146.36,192.168.1.9,DoS,LOW
2026-03-15 21:39:11.259927,20.190.146.36,192.168.1.9,DoS,LOW
2026-03-15 21:39:11.292142,44.227.65.245,192.168.1.9,DoS,LOW
2026-03-15 21:39:11.309168,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:39:11.325781,44.227.76.166,192.168.1.9,DoS,LOW
2026-03-15 21:39:11.342781,192.168.1.9,44.227.76.166,DoS,CRITICAL
2026-03-15 21:39:11.366307,44.227.76.166,192.168.1.9,DoS,LOW
2026-03-15 21:39:11.383312,192.168.1.9,44.227.76.166,DoS,CRITICAL
2026-03-15 21:39:11.404437,44.227.76.166,192.168.1.9,DoS,LOW
2026-03-15 21:39:11.434723,44.227.76.166,192.168.1.9,DoS,LOW
2026-03-15 21:39:11.454156,44.227.65.245,192.168.1.9,DoS,LOW
2026-03-15 21:39:11.468325,44.227.65.245,192.168.1.9,DoS,LOW
2026-03-15 21:39:11.492078,20.190.146.36,192.168.1.9,DoS,LOW
2026-03-15 21:39:11.504685,20.190.146.36,192.168.1.9,DoS,LOW
2026-03-15 21:39:11.520964,20.190.146.36,192.168.1.9,DoS,LOW
2026-03-15 21:39:11.537744,20.190.146.36,192.168.1.9,DoS,LOW
2026-03-15 21:39:11.551856,192.168.1.9,20.190.146.36,DoS,CRITICAL
2026-03-15 21:39:11.568471,192.168.1.9,44.227.76.166,DoS,CRITICAL
2026-03-15 21:39:11.580731,20.190.146.36,192.168.1.9,DoS,LOW
2026-03-15 21:39:11.592270,192.168.1.9,20.190.146.36,DoS,CRITICAL
2026-03-15 21:39:11.608889,20.190.146.36,192.168.1.9,DoS,LOW
2026-03-15 21:39:11.627170,192.168.1.9,20.190.146.36,DoS,CRITICAL
2026-03-15 21:39:11.644803,44.227.76.166,192.168.1.9,DoS,LOW
2026-03-15 21:39:11.664302,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:39:11.678953,44.227.76.166,192.168.1.9,DoS,LOW
2026-03-15 21:39:11.697301,20.190.146.36,192.168.1.9,DoS,LOW
2026-03-15 21:39:11.711813,192.168.1.9,20.190.146.36,DoS,CRITICAL
2026-03-15 21:39:11.730589,20.190.146.36,192.168.1.9,DoS,LOW
2026-03-15 21:39:11.781646,192.168.1.9,44.227.76.166,DoS,CRITICAL
2026-03-15 21:39:11.809038,192.168.1.9,20.190.146.36,DoS,CRITICAL
2026-03-15 21:39:11.947345,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:39:11.963125,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:39:11.979476,192.168.1.9,44.227.76.166,DoS,CRITICAL
2026-03-15 21:39:11.999078,192.168.1.9,44.227.76.166,DoS,CRITICAL
2026-03-15 21:39:12.021127,192.168.1.9,44.227.76.166,DoS,CRITICAL
2026-03-15 21:39:12.041204,192.168.1.9,44.227.76.166,DoS,CRITICAL
2026-03-15 21:39:12.081594,207.182.128.178,192.168.1.9,DoS,LOW
2026-03-15 21:39:12.105402,207.182.128.178,192.168.1.9,DoS,LOW
2026-03-15 21:39:12.126117,192.168.1.9,207.182.128.178,DoS,CRITICAL
2026-03-15 21:39:12.148009,44.227.65.245,192.168.1.9,DoS,LOW
2026-03-15 21:39:12.169849,44.227.65.245,192.168.1.9,DoS,LOW
2026-03-15 21:39:12.182897,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:39:12.194581,44.227.76.166,192.168.1.9,DoS,LOW
2026-03-15 21:39:12.207756,44.227.76.166,192.168.1.9,DoS,LOW
2026-03-15 21:39:12.224437,192.168.1.9,44.227.76.166,DoS,CRITICAL
2026-03-15 21:39:12.239468,44.227.65.245,192.168.1.9,DoS,LOW
2026-03-15 21:39:12.250306,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:39:12.260382,44.227.76.166,192.168.1.9,DoS,LOW
2026-03-15 21:39:12.274778,44.227.76.166,192.168.1.9,DoS,LOW
2026-03-15 21:39:12.290994,192.168.1.9,44.227.76.166,DoS,CRITICAL
2026-03-15 21:39:12.302933,192.168.1.9,44.227.76.166,DoS,CRITICAL
2026-03-15 21:39:12.313726,44.227.76.166,192.168.1.9,DoS,LOW
2026-03-15 21:39:12.331221,192.168.1.9,44.227.76.166,DoS,CRITICAL
2026-03-15 21:39:12.868045,192.168.1.9,20.50.80.214,DoS,CRITICAL
2026-03-15 21:39:13.043331,20.50.80.214,192.168.1.9,DoS,LOW
2026-03-15 21:39:13.067064,192.168.1.9,20.50.80.214,DoS,CRITICAL
2026-03-15 21:39:13.081277,192.168.1.9,20.50.80.214,DoS,CRITICAL
2026-03-15 21:39:13.094001,192.168.1.9,20.50.80.214,DoS,CRITICAL
2026-03-15 21:39:13.213031,20.50.80.214,192.168.1.9,DoS,LOW
2026-03-15 21:39:13.226591,20.50.80.214,192.168.1.9,DoS,LOW
2026-03-15 21:39:13.238342,192.168.1.9,20.50.80.214,DoS,CRITICAL
2026-03-15 21:39:13.431277,20.50.80.214,192.168.1.9,DoS,LOW
2026-03-15 21:39:13.444106,20.50.80.214,192.168.1.9,DoS,LOW
2026-03-15 21:39:13.456513,20.50.80.214,192.168.1.9,DoS,LOW
2026-03-15 21:39:13.466707,192.168.1.9,20.50.80.214,DoS,CRITICAL
2026-03-15 21:39:13.478646,192.168.1.9,20.50.80.214,DoS,CRITICAL
2026-03-15 21:39:13.490872,192.168.1.9,20.50.80.214,DoS,CRITICAL
2026-03-15 21:39:13.501532,192.168.1.9,20.50.80.214,DoS,CRITICAL
2026-03-15 21:39:13.511673,192.168.1.9,20.50.80.214,DoS,CRITICAL
2026-03-15 21:39:13.523490,192.168.1.9,20.50.80.214,DoS,CRITICAL
2026-03-15 21:39:13.534036,192.168.1.9,20.50.80.214,DoS,CRITICAL
2026-03-15 21:39:13.626747,20.50.80.214,192.168.1.9,DoS,LOW
2026-03-15 21:39:13.640481,20.50.80.214,192.168.1.9,DoS,LOW
2026-03-15 21:39:13.652053,192.168.1.9,20.50.80.214,DoS,CRITICAL
2026-03-15 21:39:13.662894,192.168.1.9,20.50.80.214,DoS,CRITICAL
2026-03-15 21:39:13.674271,20.50.80.214,192.168.1.9,DoS,LOW
2026-03-15 21:39:13.685283,20.50.80.214,192.168.1.9,DoS,LOW
2026-03-15 21:39:13.809245,20.50.80.214,192.168.1.9,DoS,LOW
2026-03-15 21:39:13.837790,20.50.80.214,192.168.1.9,DoS,LOW
2026-03-15 21:39:13.852398,192.168.1.9,20.50.80.214,DoS,CRITICAL
2026-03-15 21:39:14.822559,192.168.1.9,20.50.80.214,DoS,CRITICAL
2026-03-15 21:39:14.834938,192.168.1.9,20.50.80.214,DoS,CRITICAL
2026-03-15 21:39:14.851792,192.168.1.9,20.50.80.214,DoS,CRITICAL
2026-03-15 21:39:15.006135,20.50.80.214,192.168.1.9,DoS,LOW
2026-03-15 21:39:15.025285,20.50.80.214,192.168.1.9,DoS,LOW
2026-03-15 21:39:15.079510,192.168.1.9,20.50.80.214,DoS,CRITICAL
2026-03-15 21:39:16.066336,192.168.1.9,20.50.80.214,DoS,CRITICAL
2026-03-15 21:39:16.091651,192.168.1.9,20.50.80.214,DoS,CRITICAL
2026-03-15 21:39:16.101674,192.168.1.9,20.50.80.214,DoS,CRITICAL
2026-03-15 21:39:16.207778,20.50.80.214,192.168.1.9,DoS,LOW
2026-03-15 21:39:16.218847,20.50.80.214,192.168.1.9,DoS,LOW
2026-03-15 21:39:16.275668,192.168.1.9,20.50.80.214,DoS,CRITICAL
2026-03-15 21:39:17.266321,192.168.1.9,20.50.80.214,DoS,CRITICAL
2026-03-15 21:39:17.291641,192.168.1.9,20.50.80.214,DoS,CRITICAL
2026-03-15 21:39:17.304216,192.168.1.9,20.50.80.214,DoS,CRITICAL
2026-03-15 21:39:17.412520,20.50.80.214,192.168.1.9,DoS,LOW
2026-03-15 21:39:17.425517,20.50.80.214,192.168.1.9,DoS,LOW
2026-03-15 21:39:17.462602,192.168.1.9,20.50.80.214,DoS,CRITICAL
2026-03-15 21:39:18.451020,192.168.1.9,20.50.80.214,DoS,CRITICAL
2026-03-15 21:39:18.481906,192.168.1.9,20.50.80.214,DoS,CRITICAL
2026-03-15 21:39:18.500531,192.168.1.9,20.50.80.214,DoS,CRITICAL
2026-03-15 21:39:18.609152,20.50.80.214,192.168.1.9,DoS,LOW
2026-03-15 21:39:18.621277,20.50.80.214,192.168.1.9,DoS,LOW
2026-03-15 21:39:18.634032,192.168.1.9,20.50.80.214,DoS,CRITICAL
2026-03-15 21:39:18.667579,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:39:18.687056,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:39:18.741229,192.168.1.9,44.227.76.166,DoS,CRITICAL
2026-03-15 21:39:18.833635,20.50.80.214,192.168.1.9,DoS,LOW
2026-03-15 21:39:18.905343,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:39:18.921094,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:39:18.939876,44.227.65.245,192.168.1.9,DoS,LOW
2026-03-15 21:39:18.950506,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:39:18.962197,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:39:18.975274,44.227.65.245,192.168.1.9,DoS,LOW
2026-03-15 21:39:18.986079,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:39:18.996050,192.168.1.9,44.227.76.166,DoS,CRITICAL
2026-03-15 21:39:19.007390,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:39:19.040257,44.227.76.166,192.168.1.9,DoS,LOW
2026-03-15 21:39:19.050070,192.168.1.9,44.227.76.166,DoS,CRITICAL
2026-03-15 21:39:19.060168,192.168.1.9,44.227.76.166,DoS,CRITICAL
2026-03-15 21:39:19.176464,44.227.65.245,192.168.1.9,DoS,LOW
2026-03-15 21:39:19.188293,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:39:19.210309,44.227.65.245,192.168.1.9,DoS,LOW
2026-03-15 21:39:19.221597,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:39:19.233790,44.227.65.245,192.168.1.9,DoS,LOW
2026-03-15 21:39:19.245032,44.227.65.245,192.168.1.9,DoS,LOW
2026-03-15 21:39:19.260664,44.227.65.245,192.168.1.9,DoS,LOW
2026-03-15 21:39:19.270805,44.227.76.166,192.168.1.9,DoS,LOW
2026-03-15 21:39:19.285092,192.168.1.9,44.227.76.166,DoS,CRITICAL
2026-03-15 21:39:19.296577,44.227.65.245,192.168.1.9,DoS,LOW
2026-03-15 21:39:19.309547,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:39:19.321920,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:39:19.334205,44.227.76.166,192.168.1.9,DoS,LOW
2026-03-15 21:39:19.344338,44.227.76.166,192.168.1.9,DoS,LOW
2026-03-15 21:39:19.379260,192.168.1.9,44.227.76.166,DoS,CRITICAL
2026-03-15 21:39:19.616034,192.168.1.9,20.50.80.214,DoS,CRITICAL
2026-03-15 21:39:19.626510,192.168.1.9,20.50.80.214,DoS,CRITICAL
2026-03-15 21:39:19.795573,20.50.80.214,192.168.1.9,DoS,LOW
2026-03-15 21:39:19.834086,20.50.80.214,192.168.1.9,DoS,LOW
2026-03-15 21:39:19.880192,192.168.1.9,20.50.80.214,DoS,CRITICAL
2026-03-15 21:39:22.093131,192.168.1.9,255.255.255.255,DoS,CRITICAL
2026-03-15 21:39:22.104202,192.168.1.9,255.255.255.255,DoS,CRITICAL
2026-03-15 21:39:22.115870,192.168.1.9,192.168.1.255,DoS,CRITICAL
2026-03-15 21:39:22.127210,192.168.1.9,255.255.255.255,DoS,CRITICAL
2026-03-15 21:39:22.137090,192.168.1.9,255.255.255.255,DoS,CRITICAL
2026-03-15 21:39:23.503788,192.168.1.9,162.125.40.2,DoS,CRITICAL
2026-03-15 21:39:23.525061,192.168.1.9,162.125.40.2,DoS,CRITICAL
2026-03-15 21:39:23.541437,192.168.1.9,162.125.40.2,DoS,CRITICAL
2026-03-15 21:39:23.555131,192.168.1.9,162.125.40.2,DoS,CRITICAL
2026-03-15 21:39:23.568934,192.168.1.9,162.125.40.2,DoS,CRITICAL
2026-03-15 21:39:23.581938,192.168.1.9,162.125.40.2,DoS,CRITICAL
2026-03-15 21:39:23.595294,192.168.1.9,162.125.40.2,DoS,CRITICAL
2026-03-15 21:39:23.816958,162.125.40.2,192.168.1.9,DoS,LOW
2026-03-15 21:39:23.827080,162.125.40.2,192.168.1.9,DoS,LOW
2026-03-15 21:39:23.839437,162.125.40.2,192.168.1.9,DoS,LOW
2026-03-15 21:39:23.849137,162.125.40.2,192.168.1.9,DoS,LOW
2026-03-15 21:39:23.876393,192.168.1.9,162.125.40.2,DoS,CRITICAL
2026-03-15 21:39:27.605072,192.168.1.9,140.82.112.26,DoS,CRITICAL
2026-03-15 21:39:27.879272,140.82.112.26,192.168.1.9,DoS,LOW
2026-03-15 21:39:29.440098,44.227.65.245,192.168.1.9,DoS,LOW
2026-03-15 21:39:29.450053,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:39:29.532146,44.227.65.245,192.168.1.9,DoS,LOW
2026-03-15 21:39:29.542331,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:39:29.585247,44.227.76.166,192.168.1.9,DoS,LOW
2026-03-15 21:39:29.609528,192.168.1.9,44.227.76.166,DoS,CRITICAL
2026-03-15 21:39:39.660235,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:39:39.889585,192.168.1.9,44.227.76.166,DoS,CRITICAL
2026-03-15 21:39:39.916538,44.227.65.245,192.168.1.9,DoS,LOW
2026-03-15 21:39:40.165305,44.227.76.166,192.168.1.9,DoS,LOW
2026-03-15 21:39:42.328151,140.82.112.26,192.168.1.9,DoS,LOW
2026-03-15 21:39:42.350047,192.168.1.9,140.82.112.26,DoS,CRITICAL
2026-03-15 21:39:42.600862,140.82.112.26,192.168.1.9,DoS,LOW
2026-03-15 21:39:52.281837,192.168.1.9,255.255.255.255,DoS,CRITICAL
2026-03-15 21:39:52.306828,192.168.1.9,192.168.1.255,DoS,CRITICAL
2026-03-15 21:39:52.330162,192.168.1.9,255.255.255.255,DoS,CRITICAL
2026-03-15 21:39:52.351139,192.168.1.9,255.255.255.255,DoS,CRITICAL
2026-03-15 21:39:56.416338,192.168.1.9,207.182.128.178,DoS,CRITICAL
2026-03-15 21:39:56.682875,207.182.128.178,192.168.1.9,DoS,LOW
2026-03-15 21:40:04.226767,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:40:04.238352,44.227.65.245,192.168.1.9,DoS,LOW
2026-03-15 21:40:04.251655,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:40:04.263979,44.227.65.245,192.168.1.9,DoS,LOW
2026-03-15 21:40:04.275527,192.168.1.9,44.227.65.245,DoS,CRITICAL
2026-03-15 21:40:04.332448,192.168.1.9,44.227.76.166,DoS,CRITICAL
2026-03-15 21:40:04.344380,44.227.76.166,192.168.1.9,DoS,LOW
2026-03-15 21:40:04.354529,192.168.1.9,44.227.76.166,DoS,CRITICAL
2026-03-15 21:40:04.500540,44.227.65.245,192.168.1.9,DoS,LOW
2026-03-15 21:40:04.613877,44.227.76.166,192.168.1.9,DoS,LOW
2026-03-15 21:40:04.870009,192.168.1.9,20.50.80.214,DoS,CRITICAL
2026-03-15 21:40:05.007052,192.168.1.9,44.227.76.166,DoS,CRITICAL
